,한파특보(O/X)
Unnamed: 0,0.03878454433848341
일최고기온(°C),0.47285980399375416
일평균기온(°C),0.4991875767304179
일최저기온(°C),0.4916447200163786
일평균상대습도(%),0.12312619373139028
일평균풍속(m/s),0.04465662552323709
일최대풍속(m/s),0.0355253029549912
동파가능지수(03h)(단계),0.6448670863989187
동파가능지수(06h)(단계),0.6582205233050907
동파가능지수(09h)(단계),0.6874386726650358
동파가능지수(12h)(단계),0.4767550481079565
동파가능지수(15h)(단계),0.3757100222473831
동파가능지수(18h)(단계),0.5014381014005649
동파가능지수(21h)(단계),0.6302693365367712
동파가능지수(24h)(단계),0.6730826802865886
한파특보(O/X),1.0
